"","Sku","Sal","Str","Std","Spd","Sda","Smr1","Sds","Sbi","Svi","Smean","SWt","Stdi","Maximumdepth","Meandensity"
"68",3.739729962,3.136764291,0.681755619,176.5022888,0.008647405,106.1924272,7.605151151,0.019119262,0.973916649,0.145897619,-0.013069604,0.028234499,0.686504575,0.71825798,1197.21049
"69",3.853355577,3.06998891,0.674336483,12.74420274,0.008922322,96.15247648,8.808925189,0.019844045,0.856802865,0.145711277,-0.008563589,0.040583299,0.710963394,0.770280978,1178.368202
"70",3.660635735,2.908361287,0.568600509,171.4987472,0.008447465,106.2076333,8.36248227,0.017919622,1.02217804,0.149958032,-0.01514993,0.044664999,0.541563564,0.805011977,1185.49298
"71",4.401760322,2.885120462,0.590334925,3.251432988,0.007647705,104.7799091,16.5386077,0.015545335,0.555783731,0.099813101,0.019115091,0.036136499,0.672159484,0.794231311,1164.01639
"72",4.083027647,2.981407826,0.640787294,176.7505854,0.00769769,110.2420784,18.93103581,0.015220432,0.609160369,0.099317359,0.020513588,0.034036099,0.677518586,0.762950978,1167.940882
"73",3.81322235,2.959085307,0.618929478,176.5101835,0.008222532,111.8604326,8.621591423,0.018144555,0.940067667,0.153745058,-0.016573261,0.041722999,0.574510072,0.70238748,1180.686854
"74",3.93715161,3.061396991,0.735269919,176.7476315,0.009272217,98.3102071,8.478605127,0.018944315,0.912883789,0.152812343,-0.012725254,0.032548299,0.617407288,0.69786298,1203.2987
"75",4.363300232,3.032622697,0.593676675,176.7567989,0.007847645,122.3414524,9.223047385,0.01809457,1.142851414,0.173813537,-0.023588125,0.029319499,0.597967277,0.677328481,1185.302298
"76",4.099155901,2.880065153,0.60116972,13.5015781,0.008747375,102.4243686,9.453799082,0.018969307,1.04202354,0.156978744,-0.01743984,0.031103499,0.572458423,0.760576979,1188.30299
"77",3.912235558,2.898308919,0.544955161,3.24838382,0.007372787,120.1971243,9.690992859,0.016719982,1.167739429,0.160715605,-0.019728857,0.030243999,0.609430084,0.816415977,1203.298973
"78",3.891859934,3.037729154,0.674825361,3.004707336,0.008522442,104.1198852,10.67123508,0.017469757,0.936779624,0.150962407,-0.0114717,0.036084199,0.687239557,0.70949598,1182.316966
"79",3.706087191,2.852705522,0.53621449,8.752979078,0.00809757,109.3116196,10.17046487,0.017044885,1.09737475,0.146441405,-0.012746203,0.039080999,0.533512475,0.825700977,1184.427643
"80",4.211408719,2.860227073,0.532547508,170.4997192,0.008022592,120.5550047,9.173654831,0.018019592,1.001885169,0.164262934,-0.018455413,0.036405799,0.641020589,0.757129479,1188.294015
"81",3.88358972,2.837515842,0.552411042,4.251811772,0.0079976,113.1937267,10.07792251,0.017844645,0.970020229,0.154024292,-0.014504615,0.040765499,0.631658327,0.685704981,1182.859973
