"Variable","Overall"
"Smr2",100
"Vmc",59.5069207411205
"Sa",49.0431204960105
"Svk",42.6403724999712
"Vv",41.4514258569356
"Sk",39.9666695367372
"Vvv",37.7216670928642
"Smr1",33.1254416847524
"Sq",31.24878807648
"Vm",31.1999815685673
"Vvc",29.4519132780442
"Spk",16.8937752655244
"Spc",10.6967058486243
"Sz",3.17784548855552
"Spd",0
